customer_id,customer_name,email,views,searches,add_to_cart,favorites,shares,distinct_products_interacted,total_interactions,completed_sales,units_purchased,amount_spent_sales,valid_rentals,units_rented,amount_spent_rentals,average_rental_days,last_activity,days_since_last_activity,average_monthly_activity,cluster,segmento,accion_sugerida
1257,Alberto Hernán Guevara,demo.usuario001@cemydi.local,3,0,0,1,0,4,4,3,6,15888.9,1,1,2204.72,8.0,2025-11-23 13:21:00,251,0.25,0,Baja actividad,Aplicar campañas de reactivación y seguimiento.
1258,Angélica Nelly Lozada,demo.usuario002@cemydi.local,44,15,6,5,3,26,73,6,15,79178.37,0,0,0.0,0.0,2026-06-10 13:11:00,52,2.92,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1259,Dolores Sanabria,demo.usuario003@cemydi.local,45,11,6,2,4,27,68,0,0,0.0,0,0,0.0,0.0,2026-04-17 10:51:00,106,22.67,3,Exploradores,Enviar recordatorios y ofrecer asesoría de compra.
1260,Celia María Acosta,demo.usuario004@cemydi.local,20,8,3,2,0,19,33,6,11,15662.89,0,0,0.0,0.0,2026-07-02 15:01:00,30,3.0,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1261,Dolores Tirado,demo.usuario005@cemydi.local,23,7,3,2,2,20,37,3,5,18390.4,0,0,0.0,0.0,2026-06-23 11:42:00,39,1.85,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1262,Cynthia Ariadna Calderón,demo.usuario006@cemydi.local,33,11,4,1,0,22,49,5,8,15209.22,0,0,0.0,0.0,2026-04-22 10:50:00,101,1.81,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1263,Emilio Ojeda Acevedo,demo.usuario007@cemydi.local,44,14,7,3,1,25,69,5,15,256472.58,2,2,1722.17,4.5,2026-06-11 17:06:00,51,8.63,2,Arrendatarios recurrentes,"Ofrecer renovaciones, mantenimiento y renta extendida."
1264,Rosa Bonilla,demo.usuario008@cemydi.local,35,6,5,1,2,23,49,18,52,119191.45,0,0,0.0,0.0,2026-06-05 12:09:00,57,8.17,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1265,Daniel Guillermo Carrillo,demo.usuario009@cemydi.local,39,9,5,3,2,26,58,10,32,202949.32,0,0,0.0,0.0,2026-07-20 09:54:00,12,3.41,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1266,Alfredo Iván Nava Arenas,demo.usuario010@cemydi.local,34,7,11,3,2,26,57,18,45,103264.04,0,0,0.0,0.0,2026-07-10 11:48:00,22,3.35,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1267,Claudio Ibarra Domínguez,demo.usuario011@cemydi.local,49,9,8,6,5,26,77,0,0,0.0,0,0,0.0,0.0,2026-05-18 11:11:00,75,3.5,3,Exploradores,Enviar recordatorios y ofrecer asesoría de compra.
1268,Roberto Abrego,demo.usuario012@cemydi.local,26,4,5,2,1,17,38,16,41,144036.81,0,0,0.0,0.0,2026-06-20 18:38:00,42,3.17,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1269,María del Carmen Arteaga,demo.usuario013@cemydi.local,35,9,9,5,2,24,60,13,39,140817.74,0,0,0.0,0.0,2026-06-24 15:45:00,38,3.16,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1270,Luis Manuel Lucas Menéndez,demo.usuario014@cemydi.local,13,0,3,0,2,14,18,3,3,4595.47,0,0,0.0,0.0,2026-01-09 15:24:00,204,0.82,0,Baja actividad,Aplicar campañas de reactivación y seguimiento.
1271,Jerónimo Galarza,demo.usuario015@cemydi.local,43,13,6,5,1,25,68,20,46,119800.65,0,0,0.0,0.0,2026-07-22 18:18:00,10,9.71,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1272,Leonardo Farías,demo.usuario016@cemydi.local,34,11,8,1,1,20,55,8,17,135959.02,0,0,0.0,0.0,2026-06-21 15:00:00,41,2.12,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
